test_id,reference_int,reference_hex,hw_hex,hw_int,abs_error_int,rel_error,squared_error,exact_match
9142,-162,FF5E,FF5E,-162,0,0.0,0,1
9143,180,00B4,00B4,180,0,0.0,0,1
9144,94,005E,005E,94,0,0.0,0,1
9145,76,004C,004C,76,0,0.0,0,1
9146,-25,FFE7,FFE7,-25,0,0.0,0,1
9147,-21,FFEB,FFEB,-21,0,0.0,0,1
9148,169,00A9,00A9,169,0,0.0,0,1
9149,19,0013,0013,19,0,0.0,0,1
9150,228,00E4,00E4,228,0,0.0,0,1
9151,126,007E,007E,126,0,0.0,0,1
9152,60,003C,003C,60,0,0.0,0,1
9153,101,0065,0065,101,0,0.0,0,1
9154,40,0028,0028,40,0,0.0,0,1
9155,28,001C,001C,28,0,0.0,0,1
9156,-148,FF6C,FF6C,-148,0,0.0,0,1
9157,9,0009,0009,9,0,0.0,0,1
9158,-22,FFEA,FFEA,-22,0,0.0,0,1
9159,-46,FFD2,FFD2,-46,0,0.0,0,1
9160,84,0054,0054,84,0,0.0,0,1
9161,-7,FFF9,FFF9,-7,0,0.0,0,1
9162,28,001C,001C,28,0,0.0,0,1
9163,-86,FFAA,FFAA,-86,0,0.0,0,1
9164,41,0029,0029,41,0,0.0,0,1
9165,-94,FFA2,FFA2,-94,0,0.0,0,1
9166,2,0002,0002,2,0,0.0,0,1
9167,-16,FFF0,FFF0,-16,0,0.0,0,1
9168,-57,FFC7,FFC7,-57,0,0.0,0,1
9169,-84,FFAC,FFAC,-84,0,0.0,0,1
9170,12,000C,000C,12,0,0.0,0,1
9171,97,0061,0061,97,0,0.0,0,1
9172,-100,FF9C,FF9C,-100,0,0.0,0,1
9173,-178,FF4E,FF4E,-178,0,0.0,0,1
9174,89,0059,0059,89,0,0.0,0,1
9175,-13,FFF3,FFF3,-13,0,0.0,0,1
9176,168,00A8,00A8,168,0,0.0,0,1
9177,-52,FFCC,FFCC,-52,0,0.0,0,1
9178,-82,FFAE,FFAE,-82,0,0.0,0,1
9179,85,0055,0055,85,0,0.0,0,1
9180,-81,FFAF,FFAF,-81,0,0.0,0,1
9181,-58,FFC6,FFC6,-58,0,0.0,0,1
9182,-93,FFA3,FFA3,-93,0,0.0,0,1
9183,-54,FFCA,FFCA,-54,0,0.0,0,1
9184,50,0032,0032,50,0,0.0,0,1
9185,0,0000,0000,0,0,0.0,0,1
9186,-151,FF69,FF69,-151,0,0.0,0,1
9187,9,0009,0009,9,0,0.0,0,1
9188,-10,FFF6,FFF6,-10,0,0.0,0,1
9189,-119,FF89,FF89,-119,0,0.0,0,1
9190,44,002C,002C,44,0,0.0,0,1
9191,173,00AD,00AD,173,0,0.0,0,1
9192,-1,FFFF,FFFF,-1,0,0.0,0,1
9193,29,001D,001D,29,0,0.0,0,1
9194,123,007B,007B,123,0,0.0,0,1
9195,31,001F,001F,31,0,0.0,0,1
9196,-31,FFE1,FFE1,-31,0,0.0,0,1
9197,102,0066,0066,102,0,0.0,0,1
9198,254,00FE,00FE,254,0,0.0,0,1
9199,-109,FF93,FF93,-109,0,0.0,0,1
9200,32,0020,0020,32,0,0.0,0,1
9201,-55,FFC9,FFC9,-55,0,0.0,0,1
9202,-21,FFEB,FFEB,-21,0,0.0,0,1
9203,-61,FFC3,FFC3,-61,0,0.0,0,1
9204,-35,FFDD,FFDD,-35,0,0.0,0,1
9205,-33,FFDF,FFDF,-33,0,0.0,0,1
9206,94,005E,005E,94,0,0.0,0,1
9207,-33,FFDF,FFDF,-33,0,0.0,0,1
9208,109,006D,006D,109,0,0.0,0,1
9209,32,0020,0020,32,0,0.0,0,1
9210,99,0063,0063,99,0,0.0,0,1
9211,21,0015,0015,21,0,0.0,0,1
9212,60,003C,003C,60,0,0.0,0,1
9213,66,0042,0042,66,0,0.0,0,1
