fault_id,format,target_id,target_name,vector_id,bit_id,fault_type
388,FP16,0,R,24,4,bflip
389,FP16,0,R,24,5,bflip
390,FP16,0,R,24,6,bflip
391,FP16,0,R,24,7,bflip
392,FP16,0,R,24,8,bflip
393,FP16,0,R,24,9,bflip
394,FP16,0,R,24,10,bflip
395,FP16,0,R,24,11,bflip
396,FP16,0,R,24,12,bflip
397,FP16,0,R,24,13,bflip
398,FP16,0,R,24,14,bflip
399,FP16,0,R,24,15,bflip
400,FP16,0,R,25,0,bflip
401,FP16,0,R,25,1,bflip
402,FP16,0,R,25,2,bflip
403,FP16,0,R,25,3,bflip
404,FP16,0,R,25,4,bflip
405,FP16,0,R,25,5,bflip
406,FP16,0,R,25,6,bflip
407,FP16,0,R,25,7,bflip
408,FP16,0,R,25,8,bflip
409,FP16,0,R,25,9,bflip
410,FP16,0,R,25,10,bflip
411,FP16,0,R,25,11,bflip
412,FP16,0,R,25,12,bflip
413,FP16,0,R,25,13,bflip
414,FP16,0,R,25,14,bflip
415,FP16,0,R,25,15,bflip
416,FP16,0,R,26,0,bflip
417,FP16,0,R,26,1,bflip
418,FP16,0,R,26,2,bflip
419,FP16,0,R,26,3,bflip
420,FP16,0,R,26,4,bflip
421,FP16,0,R,26,5,bflip
422,FP16,0,R,26,6,bflip
423,FP16,0,R,26,7,bflip
424,FP16,0,R,26,8,bflip
425,FP16,0,R,26,9,bflip
426,FP16,0,R,26,10,bflip
427,FP16,0,R,26,11,bflip
428,FP16,0,R,26,12,bflip
429,FP16,0,R,26,13,bflip
430,FP16,0,R,26,14,bflip
431,FP16,0,R,26,15,bflip
432,FP16,0,R,27,0,bflip
433,FP16,0,R,27,1,bflip
434,FP16,0,R,27,2,bflip
435,FP16,0,R,27,3,bflip
436,FP16,0,R,27,4,bflip
437,FP16,0,R,27,5,bflip
438,FP16,0,R,27,6,bflip
439,FP16,0,R,27,7,bflip
440,FP16,0,R,27,8,bflip
441,FP16,0,R,27,9,bflip
442,FP16,0,R,27,10,bflip
443,FP16,0,R,27,11,bflip
444,FP16,0,R,27,12,bflip
445,FP16,0,R,27,13,bflip
446,FP16,0,R,27,14,bflip
447,FP16,0,R,27,15,bflip
448,FP16,0,R,28,0,bflip
449,FP16,0,R,28,1,bflip
450,FP16,0,R,28,2,bflip
451,FP16,0,R,28,3,bflip
452,FP16,0,R,28,4,bflip
453,FP16,0,R,28,5,bflip
454,FP16,0,R,28,6,bflip
455,FP16,0,R,28,7,bflip
456,FP16,0,R,28,8,bflip
457,FP16,0,R,28,9,bflip
458,FP16,0,R,28,10,bflip
459,FP16,0,R,28,11,bflip
460,FP16,0,R,28,12,bflip
461,FP16,0,R,28,13,bflip
462,FP16,0,R,28,14,bflip
463,FP16,0,R,28,15,bflip
464,FP16,0,R,29,0,bflip
465,FP16,0,R,29,1,bflip
466,FP16,0,R,29,2,bflip
467,FP16,0,R,29,3,bflip
468,FP16,0,R,29,4,bflip
469,FP16,0,R,29,5,bflip
470,FP16,0,R,29,6,bflip
471,FP16,0,R,29,7,bflip
472,FP16,0,R,29,8,bflip
473,FP16,0,R,29,9,bflip
474,FP16,0,R,29,10,bflip
475,FP16,0,R,29,11,bflip
476,FP16,0,R,29,12,bflip
477,FP16,0,R,29,13,bflip
478,FP16,0,R,29,14,bflip
479,FP16,0,R,29,15,bflip
480,FP16,0,R,30,0,bflip
481,FP16,0,R,30,1,bflip
482,FP16,0,R,30,2,bflip
483,FP16,0,R,30,3,bflip
484,FP16,0,R,30,4,bflip
485,FP16,0,R,30,5,bflip
486,FP16,0,R,30,6,bflip
487,FP16,0,R,30,7,bflip
488,FP16,0,R,30,8,bflip
489,FP16,0,R,30,9,bflip
490,FP16,0,R,30,10,bflip
491,FP16,0,R,30,11,bflip
492,FP16,0,R,30,12,bflip
493,FP16,0,R,30,13,bflip
494,FP16,0,R,30,14,bflip
495,FP16,0,R,30,15,bflip
496,FP16,0,R,31,0,bflip
497,FP16,0,R,31,1,bflip
498,FP16,0,R,31,2,bflip
499,FP16,0,R,31,3,bflip
500,FP16,0,R,31,4,bflip
501,FP16,0,R,31,5,bflip
502,FP16,0,R,31,6,bflip
503,FP16,0,R,31,7,bflip
504,FP16,0,R,31,8,bflip
505,FP16,0,R,31,9,bflip
506,FP16,0,R,31,10,bflip
507,FP16,0,R,31,11,bflip
508,FP16,0,R,31,12,bflip
509,FP16,0,R,31,13,bflip
510,FP16,0,R,31,14,bflip
511,FP16,0,R,31,15,bflip
512,FP16,0,R,32,0,bflip
513,FP16,0,R,32,1,bflip
514,FP16,0,R,32,2,bflip
515,FP16,0,R,32,3,bflip
516,FP16,0,R,32,4,bflip
517,FP16,0,R,32,5,bflip
518,FP16,0,R,32,6,bflip
519,FP16,0,R,32,7,bflip
520,FP16,0,R,32,8,bflip
521,FP16,0,R,32,9,bflip
522,FP16,0,R,32,10,bflip
523,FP16,0,R,32,11,bflip
524,FP16,0,R,32,12,bflip
525,FP16,0,R,32,13,bflip
526,FP16,0,R,32,14,bflip
527,FP16,0,R,32,15,bflip
528,FP16,0,R,33,0,bflip
529,FP16,0,R,33,1,bflip
530,FP16,0,R,33,2,bflip
531,FP16,0,R,33,3,bflip
532,FP16,0,R,33,4,bflip
533,FP16,0,R,33,5,bflip
534,FP16,0,R,33,6,bflip
535,FP16,0,R,33,7,bflip
536,FP16,0,R,33,8,bflip
537,FP16,0,R,33,9,bflip
538,FP16,0,R,33,10,bflip
539,FP16,0,R,33,11,bflip
540,FP16,0,R,33,12,bflip
541,FP16,0,R,33,13,bflip
542,FP16,0,R,33,14,bflip
543,FP16,0,R,33,15,bflip
544,FP16,0,R,34,0,bflip
